!!! https://www.asahi-net.or.jp/~ax2s-kmtn/ref/old_chara.html
4E9E 亞 4E9C 亜
60E1 惡 60AA 悪
58D3 壓 5727 圧
570D 圍 56F2 囲
7232 爲 70BA 為
91AB 醫 533B 医
58F9 壹 58F1 壱
FA67 逸 9038 逸
7A3B 稻 7A32 稲
96B1 隱 96A0 隠
71DF 營 55B6 営
69AE 榮 6804 栄
885E 衞 885B 衛
9A5B 驛 99C5 駅
FA62 謁 8B01 謁
5713 圓 5186 円
7DE3 緣 7E01 縁
8277 艷 8276 艶
9E7D 鹽 5869 塩
5967 奧 5965 奥
61C9 應 5FDC 応
6A6B 橫 6A2A 横
6B50 歐 6B27 欧
6BC6 毆 6BB4 殴
9EC3 黃 9EC4 黄
6EAB 溫 6E29 温
7A69 穩 7A4F 穏
5047 假 4EEE 仮
50F9 價 4FA1 価
FA52 禍 798D 禍
756B 畫 753B 画
6703 會 4F1A 会
58DE 壞 58CA 壊
FA3D 悔 6094 悔
61F7 懷 61D0 懐
FA45 海 6D77 海
7E6A 繪 7D75 絵
FA3E 慨 6168 慨
69EA 槪 6982 概
64F4 擴 62E1 拡
6BBC 殼 6BBB 殻
89BA 覺 899A 覚
5B78 學 5B66 学
5DBD 嶽 5CB3 岳
6A02 樂 697D 楽
FA36 喝 559D 喝
6E34 渴 6E07 渇
FA60 褐 8910 褐
52F8 勸 52E7 勧
5377 卷 5DFB 巻
5BEC 寬 5BDB 寛
6B61 歡 6B53 歓
FA47 漢 6F22 漢
7F50 罐 7F36 缶
89C0 觀 89B3 観
95DC 關 95A2 関
9677 陷 9665 陥
FA38 器 5668 器
FA42 既 65E2 既
6B78 歸 5E30 帰
6C23 氣 6C17 気
FA4E 祈 7948 祈
9F9C 龜 4E80 亀
50DE 僞 507D 偽
6232 戲 622F 戯
72A7 犧 72A0 犠
820A 舊 65E7 旧
64DA 據 62E0 拠
64E7 擧 6319 挙
865B 虛 865A 虚
5CFD 峽 5CE1 峡
633E 挾 631F 挟
72F9 狹 72ED 狭
9115 鄕 90F7 郷
FA69 響 97FF 響
66C9 曉 6681 暁
FA34 勤 52E4 勤
FA63 謹 8B39 謹
5340 區 533A 区
9A45 驅 99C6 駆
